# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/ismael/Desktop/muise/video_gen/monitor.csv
# Generated on: Thu Jun  2 19:31:32 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk_50mhz_in,Input,PIN_AF14,3B,B3B_N0,PIN_A8,,,,,,,,,,,,,,
hsync_o,Output,PIN_B11,8A,B8A_N0,PIN_B11,2.5 V,,,,,,,,,,,,,
vga_b_o[9],Output,,,,PIN_AJ17,,,,,,,,,,,,,,
vga_b_o[8],Output,,,,PIN_C13,,,,,,,,,,,,,,
vga_b_o[7],Output,PIN_J14,8A,B8A_N0,PIN_AH23,,,,,,,,,,,,,,
vga_b_o[6],Output,PIN_G15,8A,B8A_N0,PIN_AG21,,,,,,,,,,,,,,
vga_b_o[5],Output,PIN_F15,8A,B8A_N0,PIN_AF13,,,,,,,,,,,,,,
vga_b_o[4],Output,PIN_H14,8A,B8A_N0,PIN_AC25,,,,,,,,,,,,,,
vga_b_o[3],Output,PIN_F14,8A,B8A_N0,PIN_AG7,,,,,,,,,,,,,,
vga_b_o[2],Output,PIN_H13,8A,B8A_N0,PIN_AF5,,,,,,,,,,,,,,
vga_b_o[1],Output,PIN_G13,8A,B8A_N0,PIN_AB21,,,,,,,,,,,,,,
vga_b_o[0],Output,PIN_B13,8A,B8A_N0,PIN_AA21,,,,,,,,,,,,,,
vga_g_o[9],Output,,,,PIN_AF10,,,,,,,,,,,,,,
vga_g_o[8],Output,,,,PIN_J12,,,,,,,,,,,,,,
vga_g_o[7],Output,PIN_E11,8A,B8A_N0,PIN_AG23,,,,,,,,,,,,,,
vga_g_o[6],Output,PIN_F11,8A,B8A_N0,PIN_K8,,,,,,,,,,,,,,
vga_g_o[5],Output,PIN_G12,8A,B8A_N0,PIN_AD25,,,,,,,,,,,,,,
vga_g_o[4],Output,PIN_G11,8A,B8A_N0,PIN_F9,,,,,,,,,,,,,,
vga_g_o[3],Output,PIN_G10,8A,B8A_N0,PIN_G13,,,,,,,,,,,,,,
vga_g_o[2],Output,PIN_H12,8A,B8A_N0,PIN_AC14,,,,,,,,,,,,,,
vga_g_o[1],Output,PIN_J10,8A,B8A_N0,PIN_A5,,,,,,,,,,,,,,
vga_g_o[0],Output,PIN_J9,8A,B8A_N0,PIN_AK3,,,,,,,,,,,,,,
vga_r_o[9],Output,,,,PIN_AJ10,,,,,,,,,,,,,,
vga_r_o[8],Output,,,,PIN_AF9,,,,,,,,,,,,,,
vga_r_o[7],Output,PIN_F13,8A,B8A_N0,PIN_AH5,,,,,,,,,,,,,,
vga_r_o[6],Output,PIN_E12,8A,B8A_N0,PIN_AB13,,,,,,,,,,,,,,
vga_r_o[5],Output,PIN_D12,8A,B8A_N0,PIN_AB12,,,,,,,,,,,,,,
vga_r_o[4],Output,PIN_C12,8A,B8A_N0,PIN_H15,,,,,,,,,,,,,,
vga_r_o[3],Output,PIN_B12,8A,B8A_N0,PIN_AC9,,,,,,,,,,,,,,
vga_r_o[2],Output,PIN_E13,8A,B8A_N0,PIN_V23,,,,,,,,,,,,,,
vga_r_o[1],Output,PIN_C13,8A,B8A_N0,PIN_A9,,,,,,,,,,,,,,
vga_r_o[0],Output,PIN_A13,8A,B8A_N0,PIN_AJ1,,,,,,,,,,,,,,
vid_blank_o,Output,PIN_F10,8A,B8A_N0,PIN_F10,2.5 V,,,,,,,,,,,,,
vid_clk_o,Output,PIN_A11,8A,B8A_N0,PIN_A11,2.5 V,,,,,,,,,,,,,
vsync_o,Output,PIN_D11,8A,B8A_N0,PIN_D11,2.5 V,,,,,,,,,,,,,
